REG,PROV,CODAT,DESC,CESSUFFSC,CESSUFFSP,CESSUFFDI,CESSUFFAF,CESSUFFTOT,Anno
PIE,VC,L   ,Attivita' immobiliari                                       ,0,2,0,0,2,2023
PIE,VC,L 68,Attivita' immobiliari                                       ,0,2,0,0,2,2023
PIE,VC,M   ,"Attività professionali, scientifiche e tecniche             ",0,1,0,0,1,2023
PIE,VC,M 69,Attività legali e contabilità                               ,0,0,0,0,0,2023
PIE,VC,M 70,Attività di direzione aziendale e di consulenza gestional...,0,0,0,0,0,2023
PIE,VC,M 71,Attività degli studi di architettura e d'ingegneria; coll...,0,0,0,0,0,2023
PIE,VC,M 72,Ricerca scientifica e sviluppo                              ,0,0,0,0,0,2023
PIE,VC,M 73,Pubblicità e ricerche di mercato                            ,0,1,0,0,1,2023
PIE,VC,M 74,"Altre attività professionali, scientifiche e tecniche       ",0,0,0,0,0,2023
PIE,VC,M 75,Servizi veterinari                                          ,0,0,0,0,0,2023
PIE,VC,N   ,"Noleggio, agenzie di viaggio, servizi di supporto alle im...",0,2,0,1,3,2023
PIE,VC,N 77,Attività di noleggio e leasing operativo                    ,0,1,0,0,1,2023
PIE,VC,N 78,"Attività di ricerca, selezione, fornitura di personale      ",0,0,0,0,0,2023
PIE,VC,N 79,"Attività dei servizi delle agenzie di viaggio, dei tour o...",0,0,0,0,0,2023
PIE,VC,N 80,Servizi di vigilanza e investigazione                       ,0,0,0,0,0,2023
PIE,VC,N 81,Attività di servizi per edifici e paesaggio                 ,0,1,0,1,2,2023
PIE,VC,N 82,Attività di supporto per le funzioni d'ufficio e altri se...,0,0,0,0,0,2023
PIE,VC,O   ,Amministrazione pubblica e difesa; assicurazione sociale ...,0,0,0,0,0,2023
PIE,VC,O 84,Amministrazione pubblica e difesa; assicurazione sociale ...,0,0,0,0,0,2023
PIE,VC,P   ,Istruzione                                                  ,0,0,0,0,0,2023
PIE,VC,P 85,Istruzione                                                  ,0,0,0,0,0,2023
PIE,VC,Q   ,Sanita' e assistenza sociale                                ,0,0,0,0,0,2023
PIE,VC,Q 86,Assistenza sanitaria                                        ,0,0,0,0,0,2023
PIE,VC,Q 87,Servizi di assistenza sociale residenziale                  ,0,0,0,0,0,2023
PIE,VC,Q 88,Assistenza sociale non residenziale                         ,0,0,0,0,0,2023
PIE,VC,R   ,"Attività artistiche, sportive, di intrattenimento e diver...",0,1,0,1,2,2023
PIE,VC,R 90,"Attività creative, artistiche e di intrattenimento          ",0,0,0,0,0,2023
PIE,VC,R 91,"Attività di biblioteche, archivi, musei ed altre attività...",0,0,0,0,0,2023
PIE,VC,R 92,"Attività riguardanti le lotterie, le scommesse, le case d...",0,0,0,0,0,2023
PIE,VC,R 93,"Attività sportive, di intrattenimento e di divertimento     ",0,1,0,1,2,2023
PIE,VC,S   ,Altre attività di servizi                                   ,0,2,0,1,3,2023
PIE,VC,S 94,Attività di organizzazioni associative                      ,0,0,0,0,0,2023
PIE,VC,S 95,Riparazione di computer e di beni per uso personale e per...,0,0,0,0,0,2023
PIE,VC,S 96,Altre attività di servizi per la persona                    ,0,2,0,1,3,2023
PIE,VC,T   ,Attività di famiglie e convivenze come datori di lavoro p...,0,0,0,0,0,2023
PIE,VC,T 97,Attività di famiglie e convivenze come datori di lavoro p...,0,0,0,0,0,2023
PIE,VC,T 98,Produzione di beni e servizi indifferenziati per uso prop...,0,0,0,0,0,2023
PIE,VC,U   ,Organizzazioni ed organismi extraterritoriali               ,0,0,0,0,0,2023
PIE,VC,U 99,Organizzazioni ed organismi extraterritoriali               ,0,0,0,0,0,2023
PIE,VC,XX  ,Imprese non classificate                                    ,0,23,0,6,29,2023
PIE,VC,TOT ,TOTALE                                                      ,0,120,0,19,139,2023
PIE,NO,A   ,"Agricoltura, silvicoltura pesca                             ",0,0,0,0,0,2023
PIE,NO,A 01,"Coltivazioni agricole e produzione di prodotti animali, c...",0,0,0,0,0,2023
PIE,NO,A 02,Silvicoltura ed utilizzo di aree forestali                  ,0,0,0,0,0,2023
PIE,NO,A 03,Pesca e acquacoltura                                        ,0,0,0,0,0,2023
PIE,NO,B   ,Estrazione di minerali da cave e miniere                    ,0,0,0,0,0,2023
PIE,NO,B 05,Estrazione di carbone (esclusa torba)                       ,0,0,0,0,0,2023
PIE,NO,B 06,Estraz.di petrolio greggio e di gas naturale                ,0,0,0,0,0,2023
PIE,NO,B 07,Estrazione di minerali metalliferi                          ,0,0,0,0,0,2023
PIE,NO,B 08,Altre attività di estrazione di minerali da cave e miniere  ,0,0,0,0,0,2023
PIE,NO,B 09,Attività dei servizi di supporto all'estrazione             ,0,0,0,0,0,2023
PIE,NO,C   ,Attività manifatturiere                                     ,0,1,0,2,3,2023
PIE,NO,C 10,Industrie alimentari                                        ,0,1,0,0,1,2023
PIE,NO,C 11,Industria delle bevande                                     ,0,0,0,0,0,2023
PIE,NO,C 12,Industria del tabacco                                       ,0,0,0,0,0,2023
PIE,NO,C 13,Industrie tessili                                           ,0,0,0,0,0,2023
PIE,NO,C 14,Confezione di articoli di abbigliamento; confezione di ar...,0,0,0,0,0,2023
PIE,NO,C 15,Fabbricazione di articoli in pelle e simili                 ,0,0,0,0,0,2023
PIE,NO,C 16,Industria del legno e dei prodotti in legno e sughero (es...,0,0,0,0,0,2023
PIE,NO,C 17,Fabbricazione di carta e di prodotti di carta               ,0,0,0,0,0,2023
PIE,NO,C 18,Stampa e riproduzione di supporti registrati                ,0,0,0,0,0,2023
PIE,NO,C 19,Fabbricazione di coke e prodotti derivanti dalla raffinaz...,0,0,0,0,0,2023
PIE,NO,C 20,Fabbricazione di prodotti chimici                           ,0,0,0,0,0,2023
PIE,NO,C 21,Fabbricazione di prodotti farmaceutici di base e di prepa...,0,0,0,0,0,2023
PIE,NO,C 22,Fabbricazione di articoli in gomma e materie plastiche      ,0,0,0,0,0,2023
PIE,NO,C 23,Fabbricazione di altri prodotti della lavorazione di miner..,0,0,0,0,0,2023
PIE,NO,C 24,Metallurgia                                                 ,0,0,0,0,0,2023
PIE,NO,C 25,Fabbricazione di prodotti in metallo (esclusi macchinari ...,0,0,0,0,0,2023
PIE,NO,C 26,Fabbricazione di computer e prodotti di elettronica e ott...,0,0,0,0,0,2023
PIE,NO,C 27,Fabbricazione di apparecchiature elettriche ed apparecchi...,0,0,0,0,0,2023
PIE,NO,C 28,Fabbricazione di macchinari ed apparecchiature nca          ,0,0,0,2,2,2023
PIE,NO,C 29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi       ",0,0,0,0,0,2023
PIE,NO,C 30,Fabbricazione di altri mezzi di trasporto                   ,0,0,0,0,0,2023
PIE,NO,C 31,Fabbricazione di mobili                                     ,0,0,0,0,0,2023
PIE,NO,C 32,Altre industrie manifatturiere                              ,0,0,0,0,0,2023
PIE,NO,C 33,"Riparazione, manutenzione ed installazione di macchine ed...",0,0,0,0,0,2023
PIE,NO,D   ,"Fornitura di energia elettrica, gas, vapore e aria condiz...",0,0,0,0,0,2023
PIE,NO,D 35,"Fornitura di energia elettrica, gas, vapore e aria condiz...",0,0,0,0,0,2023
PIE,NO,E   ,"Fornitura di acqua; reti fognarie, attività di gestione d...",0,0,0,0,0,2023
PIE,NO,E 36,"Raccolta, trattamento e fornitura di acqua                  ",0,0,0,0,0,2023
PIE,NO,E 37,Gestione delle reti fognarie                                ,0,0,0,0,0,2023
PIE,NO,E 38,"Attività di raccolta, trattamento e smaltimento dei rifiu...",0,0,0,0,0,2023
PIE,NO,E 39,Attività di risanamento e altri servizi di gestione dei r...,0,0,0,0,0,2023
PIE,NO,F   ,Costruzioni                                                 ,0,0,0,4,4,2023
