Anno,Trimestre,Settore,Divisione,Regione,Provincia,Forma giuridica,Tipo ricerca,Registrate,Attive,Iscrizioni,Cessazioni non d ufficio,Saldo
2022,0,C Attività manifatturiere,C 31 Fabbricazione di mobili,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,4,3,0,0,0
2022,0,C Attività manifatturiere,"C 33 Riparazione, manutenzione ed installazione di macchine ed...",SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,121,101,0,3,-3
2022,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...",E 39 Attività di risanamento e altri servizi di gestione dei r...,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,10,4,0,0,0
2022,0,C Attività manifatturiere,C 22 Fabbricazione di articoli in gomma e materie plastiche,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,4,3,0,0,0
2022,0,"M Attività professionali, scientifiche e tecniche",M 70 Attività di direzione aziendale e di consulenza gestional...,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,68,68,13,4,9
2022,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...",E 37 Gestione delle reti fognarie,SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,1,1,0,0,0
2022,0,"M Attività professionali, scientifiche e tecniche",M 71 Attività degli studi di architettura e d'ingegneria; coll...,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,213,195,1,6,-5
2022,0,Q Sanità e assistenza sociale,Q 86 Assistenza sanitaria,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,11,9,0,0,0
2022,0,C Attività manifatturiere,C 16 Industria del legno e dei prodotti in legno e sughero (es...,SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,117,75,1,1,0
2022,0,K Attività finanziarie e assicurative,K 66 Attività ausiliarie dei servizi finanziari e delle attivi...,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,3,2,0,0,0
2022,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 93 Attività sportive, di intrattenimento e di divertimento",SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,14,13,0,1,-1
2022,0,"M Attività professionali, scientifiche e tecniche",M 73 Pubblicità e ricerche di mercato,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,6,4,0,0,0
2022,0,L Attività immobiliari,L 68 Attivita' immobiliari,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,3,3,0,0,0
2022,0,"A Agricoltura, silvicoltura pesca",A 02 Silvicoltura ed utilizzo di aree forestali,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,12,9,0,0,0
2022,0,C Attività manifatturiere,C 13 Industrie tessili,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,4,2,0,0,0
2022,0,H Trasporto e magazzinaggio,H 53 Servizi postali e attività di corriere,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,5,5,0,0,0
2022,0,C Attività manifatturiere,C 26 Fabbricazione di computer e prodotti di elettronica e ott...,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,2,1,0,0,0
2022,0,F Costruzioni,F 43 Lavori di costruzione specializzati,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,1488,1469,114,85,29
2022,0,F Costruzioni,F 42 Ingegneria civile,SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,9,9,0,0,0
2022,0,Q Sanità e assistenza sociale,Q 88 Assistenza sociale non residenziale,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,1,1,0,0,0
2022,0,B Estrazione di minerali da cave e miniere,B 05 Estrazione di carbone (esclusa torba),SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,1,1,0,0,0
2022,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 82 Attività di supporto per le funzioni d'ufficio e altri se...,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,59,47,1,0,1
2022,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...","N 79 Attività dei servizi delle agenzie di viaggio, dei tour o...",SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,33,26,0,1,-1
2022,0,C Attività manifatturiere,C 32 Altre industrie manifatturiere,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,108,108,1,1,0
2022,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 77 Attività di noleggio e leasing operativo,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,12,10,0,0,0
2022,0,B Estrazione di minerali da cave e miniere,B 09 Attività dei servizi di supporto all'estrazione,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,1,0,0,0,0
2022,0,J Servizi di informazione e comunicazione,J 63 Attività dei servizi d'informazione e altri servizi infor...,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,24,22,1,0,1
2022,0,H Trasporto e magazzinaggio,H 49 Trasporto terrestre e mediante condotte,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,34,33,0,0,0
2022,0,C Attività manifatturiere,C 26 Fabbricazione di computer e prodotti di elettronica e ott...,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,14,13,0,1,-1
2022,0,J Servizi di informazione e comunicazione,J 63 Attività dei servizi d'informazione e altri servizi infor...,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,29,28,0,0,0
2022,0,H Trasporto e magazzinaggio,H 52 Magazzinaggio e attività di supporto ai trasporti,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,12,8,0,0,0
2022,0,C Attività manifatturiere,C 25 Fabbricazione di prodotti in metallo (esclusi macchinari ...,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,261,197,1,3,-2
2022,0,"M Attività professionali, scientifiche e tecniche",M 71 Attività degli studi di architettura e d'ingegneria; coll...,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,31,24,0,0,0
2022,0,G Commercio all'ingrosso e al dettaglio; riparazione di aut...,G 46 Commercio all'ingrosso (escluso quello di autoveicoli e d...,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,98,84,0,4,-4
2022,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 90 Attività creative, artistiche e di intrattenimento",SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,26,8,0,0,0
2022,0,"M Attività professionali, scientifiche e tecniche",M 72 Ricerca scientifica e sviluppo,SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,3,3,0,0,0
2022,0,"A Agricoltura, silvicoltura pesca","A 01 Coltivazioni agricole e produzione di prodotti animali, c...",SARDEGNA,NUORO,ALTRE FORME,Totale imprese,64,52,0,0,0
2022,0,C Attività manifatturiere,C 16 Industria del legno e dei prodotti in legno e sughero (es...,SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,55,40,0,0,0
