Anno,Trimestre,Settore,Divisione,Regione,Provincia,Forma giuridica,Tipo ricerca,Registrate,Attive,Iscrizioni,Cessazioni non d ufficio,Saldo
2021,0,H Trasporto e magazzinaggio,H 52 Magazzinaggio e attività di supporto ai trasporti,SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,14,14,0,2,-2
2021,0,C Attività manifatturiere,"C 33 Riparazione, manutenzione ed installazione di macchine ed...",SARDEGNA,CAGLIARI,IMPRESE INDIVIDUALI,Totale imprese,194,193,4,13,-9
2021,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...",E 37 Gestione delle reti fognarie,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,3,2,0,0,0
2021,0,J Servizi di informazione e comunicazione,J 61 Telecomunicazioni,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,3,2,0,0,0
2021,0,H Trasporto e magazzinaggio,H 50 Trasporto marittimo e per vie d'acqua,SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,59,43,0,0,0
2021,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 93 Attività sportive, di intrattenimento e di divertimento",SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,86,82,7,2,5
2021,0,J Servizi di informazione e comunicazione,"J 62 Produzione di software, consulenza informatica e attività...",SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,9,6,0,0,0
2021,0,C Attività manifatturiere,C 21 Fabbricazione di prodotti farmaceutici di base e di prepa...,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,2,2,0,0,0
2021,0,C Attività manifatturiere,C 13 Industrie tessili,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,4,2,0,0,0
2021,0,"D Fornitura di energia elettrica, gas, vapore e aria condiz...","D 35 Fornitura di energia elettrica, gas, vapore e aria condiz...",SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,50,44,0,2,-2
2021,0,"A Agricoltura, silvicoltura pesca","A 01 Coltivazioni agricole e produzione di prodotti animali, c...",SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,7530,7520,303,273,30
2021,0,"D Fornitura di energia elettrica, gas, vapore e aria condiz...","D 35 Fornitura di energia elettrica, gas, vapore e aria condiz...",SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,2,2,0,0,0
2021,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 91 Attività di biblioteche, archivi, musei ed altre attività...",SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,2,2,1,0,1
2021,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 81 Attività di servizi per edifici e paesaggio,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,42,39,1,0,1
2021,0,H Trasporto e magazzinaggio,H 52 Magazzinaggio e attività di supporto ai trasporti,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,28,26,0,0,0
2021,0,C Attività manifatturiere,C 20 Fabbricazione di prodotti chimici,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,34,27,2,0,2
2021,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 80 Servizi di vigilanza e investigazione,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,2,1,0,0,0
2021,0,B Estrazione di minerali da cave e miniere,B 08 Altre attività di estrazione di minerali da cave e miniere,SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,27,10,1,0,1
2021,0,C Attività manifatturiere,C 32 Altre industrie manifatturiere,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,200,198,8,9,-1
2021,0,C Attività manifatturiere,C 18 Stampa e riproduzione di supporti registrati,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,6,3,0,0,0
2021,0,"M Attività professionali, scientifiche e tecniche",M 75 Servizi veterinari,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,1,1,0,0,0
2021,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...","E 36 Raccolta, trattamento e fornitura di acqua",SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,1,1,0,0,0
2021,0,C Attività manifatturiere,C 10 Industrie alimentari,SARDEGNA,CAGLIARI,IMPRESE INDIVIDUALI,Totale imprese,356,343,10,14,-4
2021,0,X Imprese non classificate,X Imprese non classificate,SARDEGNA,CAGLIARI,SOCIETA' DI PERSONE,Totale imprese,989,2,137,26,111
2021,0,B Estrazione di minerali da cave e miniere,B 05 Estrazione di carbone (esclusa torba),SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,1,1,0,0,0
2021,0,G Commercio all'ingrosso e al dettaglio; riparazione di aut...,G 47 Commercio al dettaglio (escluso quello di autoveicoli e d...,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,31,18,1,1,0
2021,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...",E 39 Attività di risanamento e altri servizi di gestione dei r...,SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,1,1,0,0,0
2021,0,C Attività manifatturiere,"C 29 Fabbricazione di autoveicoli, rimorchi e semirimorchi",SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,1,1,0,0,0
2021,0,F Costruzioni,F 42 Ingegneria civile,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,38,29,2,0,2
2021,0,C Attività manifatturiere,C 11 Industria delle bevande,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,13,12,0,0,0
2021,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 91 Attività di biblioteche, archivi, musei ed altre attività...",SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,3,3,0,0,0
2021,0,"A Agricoltura, silvicoltura pesca",A 03 Pesca e acquacoltura,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,45,42,0,0,0
2021,0,C Attività manifatturiere,C 25 Fabbricazione di prodotti in metallo (esclusi macchinari ...,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,19,15,0,0,0
2021,0,C Attività manifatturiere,C 32 Altre industrie manifatturiere,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,37,37,0,3,-3
2021,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 93 Attività sportive, di intrattenimento e di divertimento",SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,13,8,0,0,0
2021,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...",E 37 Gestione delle reti fognarie,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,5,5,0,0,0
